,Номер машины,Название машины,Тип машины,Коробка передач,Привод,Мощность двигателя (в л.с.),Объём двигателя (в литрах),Тип топлива,Цвет
273,У789УЕ_62,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
274,Е706УЕ_20,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
275,К998ХМ_75,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
276,Т411КХ_09,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
277,Т999АР_58,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
278,М125ЕТ_85,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
279,В482УМ_08,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
280,К413УЕ_06,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
281,Х335СТ_45,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,белый
282,Н888КР_33,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,пурпурный
283,О498АН_81,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
284,К123УН_72,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
285,А626СО_14,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
286,Х759НЕ_66,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
287,Т992ОУ_17,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
288,Р882РУ_68,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
289,Е075ОВ_46,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
290,Е738СХ_52,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
291,Е702СТ_26,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
292,А035СА_73,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,серый
293,Т454ВУ_99,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,белый
294,О095СА_09,Peugeot Expert III,фургон,механика,передний,90,1.6,Дизель,белый
295,А642НМ_41,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
296,У742ЕВ_57,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
297,Р224АХ_78,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
298,У723ВТ_63,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
299,У724ВК_90,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
300,Т862ВУ_16,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
301,А959СН_64,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
302,Х285РН_28,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
303,О307УО_26,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
304,С816ОВ_58,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
305,С016МК_85,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,синий
306,С377УС_81,BMW X5 M50i IV (G05),внедорожник,автомат,полный,530,4.4,Бензин,чёрный
307,Е847НО_44,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
308,М067ТМ_22,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
309,В065РК_32,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,серый
310,Р771ХО_06,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
311,Е792КА_19,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
312,А768ОР_22,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,белый
313,Р633ВТ_56,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
314,Н989УО_77,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
315,К472ВУ_38,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
316,Е935ОТ_39,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
317,Е801АС_44,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
318,Е304ОВ_80,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,пурпурный
319,М210УА_84,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,синий
320,В249СС_92,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
321,Р996ТМ_67,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
322,Х687РО_23,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
323,О103МУ_70,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,пурпурный
324,К110УС_90,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
325,С980РР_79,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
326,К768АС_08,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
327,К605РУ_03,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
328,Т205ЕА_43,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
329,У857УС_36,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,белый
330,Х671ОС_79,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,пурпурный
331,Х423КС_78,Peugeot Expert III,фургон,механика,передний,90,1.6,Дизель,белый
332,Т505УО_88,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
333,М566КН_90,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
334,В021РУ_66,Honda Accord IX,седан,автомат,передний,180,2.4,Бензин,белый
335,А795СС_90,Chevrolet Aveo I Рестайлинг,седан,механика,передний,101,1.4,Бензин,чёрный
336,Н039ТВ_15,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
337,Х191ОТ_43,Genesis GV80 I,внедорожник,автомат,полный,249,2.5,Бензин,синий
338,М484РК_47,BMW X5 M III (F95),внедорожник,автомат,полный,600,4.4,Бензин,чёрный
339,Е431КЕ_27,Volkswagen Tiguan II Рестайлинг,внедорожник,механика,передний,125,1.4,Бензин,синий
340,Т870НЕ_45,Toyota Alphard II,минивэн,автомат,передний,275,3.5,Бензин,белый
341,Т334ВР_87,BMW 8 серии 840d xDrive II (G14/G15/G16),купе,автомат,полный,320,3.0,Дизель,серый
342,А659РУ_37,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,пурпурный
343,Н130ВВ_11,Toyota Sienna III,минивэн,автомат,передний,266,3.5,Бензин,пурпурный
344,В100КС_63,Infiniti QX30,внедорожник,робот,полный,211,2.0,Бензин,белый
345,В353ЕХ_63,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,серый
346,Н172ЕМ_87,BMW 4 серии Gran Coupe 420d F32/F33/F36 Рестайлинг,лифтбек,автомат,задний,190,2.0,Дизель,пурпурный
347,Е708УВ_79,Nissan Terrano III (D10),внедорожник,механика,полный,135,2.0,Бензин,чёрный
348,М678АС_94,Nissan X-Trail III,внедорожник,вариатор,полный,144,2.0,Бензин,чёрный
349,Р951СМ_43,LADA (ВАЗ) Vesta SW I,универсал,робот,передний,122,1.8,Бензин,чёрный
350,Е721ТН_22,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,синий
351,У982ТС_83,Skoda Octavia IV (A8),лифтбек,автомат,передний,150,1.4,Бензин,белый
352,Х808НТ_65,Infiniti QX80 I Рестайлинг,внедорожник,автомат,полный,405,5.6,Бензин,чёрный
353,М002НС_80,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
354,Н057ВА_26,Ford Ranger II,пикап,механика,полный,143,2.3,Бензин,чёрный
355,У346ТТ_06,Hyundai i30 N,хэтчбек,механика,передний,249,2.0,Бензин,серый
356,У528ОС_68,Haval H9 I Рестайлинг,внедорожник,автомат,полный,190,2.0,Дизель,чёрный
357,М907ТМ_47,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,чёрный
358,Т257СА_19,Tesla Model S 60 I,лифтбек,Заряд на 338 км,задний,222,302,Электро,синий
359,Т013ОО_60,Mercedes-Benz V-Класс XL 250 d экстра длинный II,минивэн,автомат,полный,190,2.1,Дизель,чёрный
360,Н598КН_68,Mazda CX-5 I,внедорожник,автомат,передний,150,2.0,Бензин,белый
361,Т255РА_21,Kia K5 III,седан,автомат,передний,150,2.0,Бензин,белый
362,М821СТ_51,Volkswagen Polo VI,лифтбек,робот,передний,125,1.4,Бензин,синий
363,Т933ОА_04,Chevrolet Cobalt II Рестайлинг,седан,автомат,передний,106,1.5,Бензин,серый
364,О862ЕК_58,Kia Soul II,хэтчбек,автомат,передний,124,1.6,Бензин,чёрный
365,О254УУ_35,Hyundai Sonata VIII (DN8),седан,автомат,передний,180,2.5,Бензин,серый
366,Х113УО_53,Kia K5 III,седан,автомат,передний,194,2.5,Бензин,синий
367,Н025ТУ_31,Nissan X-Trail III Рестайлинг,внедорожник,вариатор,передний,144,2.0,Бензин,серый
368,А726СВ_04,Chrysler Town & Country V,минивэн,автомат,передний,197,3.8,Бензин,чёрный
369,К299ВЕ_74,Land Rover Discovery Sport I Рестайлинг,внедорожник,автомат,полный,180,2.0,Дизель,чёрный
370,К715ВН_59,Toyota Camry VIII (XV70),седан,автомат,передний,181,2.5,Бензин,чёрный
